Tanggal;Ref Id;Kode Produk;Nama Produk;Harga Modal;Harga Jual;Profit;Message;Status
30/09/2024 22:00;p77u1309l7l570523;dana10;DANA 10.000;10105;10175;0;Saldotidakcukup;Gagal
30/09/2024 21:59;zo7u1109v0d166261;tp-tri10;Three Pulsa Transfer 10.000;10158;10374;0;Saldotidakcukup;Gagal
30/09/2024 21:59;831m8e0wnwed66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 21:59;lc1m8c0wcbnf76803;dana41;DANA 41.000;41073;41160;0;Saldotidakcukup;Gagal
30/09/2024 21:59;0m1m890w83pp66295;tri10;Three 10.000;10375;10376;0;Saldotidakcukup;Gagal
30/09/2024 21:59;lz1m880wc5t376809;dana48;DANA 48.000;48100;48165;0;Saldotidakcukup;Gagal
30/09/2024 21:58;p17u0s09ii4c66261;tp-tri10;Three Pulsa Transfer 10.000;10158;10374;0;Saldotidakcukup;Gagal
30/09/2024 21:58;zc1m870ws70k66261;tp-tri10;Three Pulsa Transfer 10.000;10158;10374;0;Saldotidakcukup;Gagal
30/09/2024 21:56;m84esy09n2qu1476;dana70;DANA 70.000;70090;70161;71;TransaksiSukses;Sukses
30/09/2024 21:53;pi1m7l0wb2fu1435;dana10;DANA 10.000;10090;10175;85;TransaksiSukses;Sukses
30/09/2024 21:53;co4esd095tb366836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 21:51;j01m790wvicf1455;dana200;DANA 200.000;200090;200212;122;TransaksiSukses;Sukses
30/09/2024 21:51;sp7tzd09uqk066836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 21:47;er1m680whcsw1446;dana15;DANA 15.000;15090;15195;105;TransaksiSukses;Sukses
30/09/2024 21:47;gy1m610wdskt1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 21:46;161m5z0wl4271468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 21:46;sn7tyb09i0gr5396;tp-isat10;Indosat Pulsa Transfer 10.000;10035;10191;156;TransaksiSukses;Sukses
30/09/2024 21:45;s51m5p0wy5681459;dana30;DANA 30.000;30080;30170;90;TransaksiSukses;Sukses
30/09/2024 21:45;su7ty609111u5094;spay300;SHOPEE PAY 300.000;300215;300438;223;TransaksiSukses;Sukses
30/09/2024 21:43;kk1m5e0w93fq70434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 21:41;s64eqg099bx670712;drivermaxim30;Maxim Driver 30.000;31950;32010;60;TransaksiSukses;Sukses
30/09/2024 21:40;ue1m4t0we6po5101;spay5;SHOPEE PAY 5.000;5105;5197;92;TransaksiSukses;Sukses
30/09/2024 21:39;xf4epz09y3og2400;gopay50;Go Pay 50.000;50265;50326;61;TransaksiSukses;Sukses
30/09/2024 21:39;8w1m4j0wb5jv70524;dana100;DANA 100.000;100090;100161;71;TransaksiSukses;Sukses
30/09/2024 21:39;8p1m4c0wc1g51434;dana1;DANA 1.000;1080;1160;80;TransaksiSukses;Sukses
30/09/2024 21:36;sv7twp09phz95652;tp-xl10;Xl Pulsa Transfer 10.000;10312;10402;90;TransaksiSukses;Sukses
30/09/2024 21:36;cr1m3y0w8a9a5685;tp-xl40;Xl Pulsa Transfer 40.000;38770;38891;121;TransaksiSukses;Sukses
30/09/2024 21:35;q47twf096x505590;tp-tsel50;Telkomsel Pulsa Transfer 50.000;48378;49055;677;TransaksiSukses;Sukses
30/09/2024 21:32;894eoy09ckrr66938;tsel85;Telkomsel 85.000;84420;84488;68;TransaksiSukses;Sukses
30/09/2024 21:31;yc1m350wgd2t5800;tsel10;Telkomsel 10.000;10165;10251;86;TransaksiSukses;Sukses
30/09/2024 21:31;6c7tvl09ndj71480;dana80;DANA 80.000;80090;80161;71;TransaksiSukses;Sukses
30/09/2024 21:31;8q4eol095ohe65826;isat5;Indosat 5.000;5732;5806;74;TransaksiSukses;Sukses
30/09/2024 21:28;547tv609vh4g5463;tp-tri10;Three Pulsa Transfer 10.000;10280;10374;94;TransaksiSukses;Sukses
30/09/2024 21:28;ry4eo809zlet1465;dana400;DANA 400.000;400060;400189;129;TransaksiSukses;Sukses
30/09/2024 21:26;4o4enz09ueim5800;tsel10;Telkomsel 10.000;10165;10251;86;TransaksiSukses;Sukses
30/09/2024 21:23;lo1m1m0w4x541435;dana10;DANA 10.000;10090;10175;85;TransaksiSukses;Sukses
30/09/2024 21:19;b17ttc091cot4428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 21:17;vr4elz09ous05762;tri10;Three 10.000;10324;10376;52;TransaksiSukses;Sukses
30/09/2024 21:16;h64elx09o5ql70524;dana100;DANA 100.000;100090;100161;71;TransaksiSukses;Sukses
30/09/2024 21:16;zy7tsp09h55d5882;tsel50;Telkomsel 50.000;49575;49640;65;TransaksiSukses;Sukses
30/09/2024 21:14;yp7tsg09l4q16038;unlins-sf6;Smartfren Data Unlimited Nonstop 6 GB 30 Hari;36175;36239;64;TransaksiSukses;Sukses
30/09/2024 21:13;u81lza0wyejb6715;xl5;Xl 5.000;5834;5921;87;TransaksiSukses;Sukses
30/09/2024 21:11;yj1lyw0wlfuv5494;tp-tri50;Three Pulsa Transfer 50.000;47655;47982;327;TransaksiSukses;Sukses
30/09/2024 21:10;7e4el409p5g25875;tsel45;Telkomsel 45.000;44625;44709;84;TransaksiSukses;Sukses
30/09/2024 21:09;pd7trh09dy7b5768;tri20;Three 20.000;19590;19727;137;TransaksiSukses;Sukses
30/09/2024 21:09;lt7trf09gxur81455;aigo-axis2500-3;Axis Data SS 3 GB 3 Hari;10455;10466;11;TransaksiSukses;Sukses
30/09/2024 21:07;1k1lyf0wphjr73730;gopay10;Go Pay 10.000;10245;10415;170;TransaksiSukses;Sukses
30/09/2024 21:07;q21lye0wlkiu66064;tp-isat5;Indosat Pulsa Transfer 5.000;5590;5651;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 21:06;091ly80wg4ay1486;dana95;DANA 95.000;95090;95161;71;TransaksiSukses;Sukses
30/09/2024 21:06;077tqv092cni1342;d-sf1-3;Smartfren Data 1 GB / 3 Hari;4275;4390;115;TransaksiSukses;Sukses
30/09/2024 21:04;pt4ek209y03j4428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 21:03;9f4ejv09f5x9878;axis10;Axis 10.000;10810;10875;65;TransaksiSukses;Sukses
30/09/2024 21:03;qf4ejn09d3m270434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 21:01;o27tpt09xiaq69081;hp-tri42;Tri Data Happy 42 GB 30 Hari;83948;84016;68;TransaksiSukses;Sukses
30/09/2024 21:01;281lww0wi6sc65826;isat5;Indosat 5.000;5720;5806;86;TransaksiSukses;Sukses
30/09/2024 21:01;ny7tpp09top1476;dana70;DANA 70.000;70090;70161;71;TransaksiSukses;Sukses
30/09/2024 21:00;ct7tpi09m1f468532;m-axis6-3;Axis Data Mini 6 GB 3 Hari;14310;14646;336;TransaksiSukses;Sukses
30/09/2024 20:58;q54eie09m3be1464;dana40;DANA 40.000;40090;40160;70;TransaksiSukses;Sukses
30/09/2024 20:58;ml4eic09wjpx74491;dana98;DANA 98.000;98090;98211;121;TransaksiSukses;Sukses
30/09/2024 20:57;y61lvv0wtiu34428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 20:57;4s4ei009gtt670434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 20:57;ms4ehz09kv994428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 20:52;701luu0wmqsr5800;tsel10;Telkomsel 10.000;10165;10251;86;TransaksiSukses;Sukses
30/09/2024 20:51;nh4egl09h0s85881;tsel5;Telkomsel 5.000;5230;5291;61;TransaksiSukses;Sukses
30/09/2024 20:50;j37tnd09dun31468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:50;h67tn609meff1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:49;ne7tn10928sx68532;m-axis6-3;Axis Data Mini 6 GB 3 Hari;14310;14646;336;TransaksiSukses;Sukses
30/09/2024 20:47;9l4efg0913qo1342;d-sf1-3;Smartfren Data 1 GB / 3 Hari;4275;4390;115;TransaksiSukses;Sukses
30/09/2024 20:47;qj7tmi09h04a3590;m-tsel1500;Telkomsel Data Mingguan 1.5 GB 7 Hari;29400;34313;4913;TransaksiSukses;Sukses
30/09/2024 20:47;ih7tmg09q803736;mini-tsel1-1;Telkomsel Data Mini 1 GB / 1 Hari;6075;6916;841;TransaksiSukses;Sukses
30/09/2024 20:47;ax4efd09afyp885;axis25;Axis 25.000;24920;24987;67;TransaksiSukses;Sukses
30/09/2024 20:46;e21lt90w7h7v1474;dana65;DANA 65.000;65075;65161;86;TransaksiSukses;Sukses
30/09/2024 20:45;0c4ef10925om1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:44;4d4eeu09iq6y70434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 20:43;1j1lss0whqqm1342;d-sf1-3;Smartfren Data 1 GB / 3 Hari;4275;4390;115;TransaksiSukses;Sukses
30/09/2024 20:43;jt4eek092e7l1459;dana30;DANA 30.000;30080;30170;90;TransaksiSukses;Sukses
30/09/2024 20:42;2w4ee609gjt91468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:40;g47tkn09abbs56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:39;l91lrr0wihel4428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 20:38;314ed609399x74455;dana53;DANA 53.000;53090;53171;81;TransaksiSukses;Sukses
30/09/2024 20:38;144ed509duvo1461;dana35;DANA 35.000;35090;35170;80;TransaksiSukses;Sukses
30/09/2024 20:38;4r1lrf0wfg1f1456;dana25;DANA 25.000;25090;25160;70;TransaksiSukses;Sukses
30/09/2024 20:37;ph7tjy097oq01458;dana3;DANA 3.000;3090;3160;70;TransaksiSukses;Sukses
30/09/2024 20:37;qf4ecx09hlr473641;gopay30;Go Pay 30.000;30265;30360;95;TransaksiSukses;Sukses
30/09/2024 20:36;4a4ecw096e0570524;dana100;DANA 100.000;100090;100161;71;TransaksiSukses;Sukses
30/09/2024 20:36;fe7tjx0968e05865;tsel38;Telkomsel 38.000;37770;37909;139;TransaksiSukses;Sukses
30/09/2024 20:36;9v4ecv09fy4i199;500dana450;DANA 450.000 Admin 500;449590;449714;124;TransaksiSukses;Sukses
30/09/2024 20:34;zl1lql0wv86j70434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 20:34;0c7tjh09qxk3026;jabo-isat2500;Indosat Data Jabodetabek Freedom Internet Harian 2.5 GB 5 Hari;12322;12621;299;TransaksiSukses;Sukses
30/09/2024 20:33;bg7tj3095zx5860;tsel35;Telkomsel 35.000;34720;34783;63;TransaksiSukses;Sukses
30/09/2024 20:33;e97tj009uopb2258;gd-isat100-1;Indosat GIFT DATA 100 MB 1 Hari;691;751;60;TransaksiSukses;Sukses
30/09/2024 20:33;b41lq40we1q070712;drivermaxim30;Maxim Driver 30.000;31950;32010;60;TransaksiSukses;Sukses
30/09/2024 20:32;ax4ebw09tdyq878;axis10;Axis 10.000;10810;10875;65;TransaksiSukses;Sukses
30/09/2024 20:32;yf4ebu09ulcd70712;drivermaxim30;Maxim Driver 30.000;31950;32010;60;TransaksiSukses;Sukses
30/09/2024 20:32;ck4ebr0956zr70712;drivermaxim30;Maxim Driver 30.000;31950;32010;60;TransaksiSukses;Sukses
30/09/2024 20:31;p11lpu0wstow5816;tsel15;Telkomsel 15.000;14995;15056;61;TransaksiSukses;Sukses
30/09/2024 20:29;a21lpb0wcqdc56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:29;0i1lp50wkplz70524;dana100;DANA 100.000;100090;100161;71;TransaksiSukses;Sukses
30/09/2024 20:29;tf7thn09gj076889;jabo-tsel5-7;Telkomsel Data 5 GB 7 Hari (Jabodetabek);22210;22672;462;TransaksiSukses;Sukses
30/09/2024 20:28;ys4eao09bbtc5800;tsel10;Telkomsel 10.000;10165;10251;86;TransaksiSukses;Sukses
30/09/2024 20:28;gu1lot0wghtm1464;dana40;DANA 40.000;40090;40160;70;TransaksiSukses;Sukses
30/09/2024 20:27;5e7th509jege1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:25;dg4e9x09w8nz1472;dana60;DANA 60.000;60035;60171;136;TransaksiSukses;Sukses
30/09/2024 20:25;g21lo90wu2ar71990;gd-isat500-1;Indosat GIFT DATA 500 MB 1 Hari;3330;3415;85;TransaksiSukses;Sukses
30/09/2024 20:24;2x4e9k09mfu956396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:24;d21lnv0wtf243029;jabo-isat5-5;Indosat Data Jabodetabek Freedom Internet Harian 5 GB 5 Hari;16875;17057;182;TransaksiSukses;Sukses
30/09/2024 20:20;5y4e8m09wmm35800;tsel10;Telkomsel 10.000;10165;10251;86;TransaksiSukses;Sukses
30/09/2024 20:19;161lmr0ws7ut3931;ml3;MOBILELEGEND - 3 Diamond;1000;1062;62;TransaksiSukses;Sukses
30/09/2024 20:19;v64e8d09z7171468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 20:18;rd7tes09t4mx3931;ml3;MOBILELEGEND - 3 Diamond;1000;1062;62;TransaksiSukses;Sukses
30/09/2024 20:18;2u7ten09l05u56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:17;eq1lm50wbytk86318;av-ksmp-tri7-30;Aktivasi Voucher Tri Happy 7 GB 30 Hari (Kalisumapa);30225;30288;63;TransaksiSukses;Sukses
30/09/2024 20:16;3d1llq0wksh05832;tsel20;Telkomsel 20.000;19845;19942;97;TransaksiSukses;Sukses
30/09/2024 20:15;w24e7e09mjnl5846;tsel25;Telkomsel 25.000;24805;24867;62;TransaksiSukses;Sukses
30/09/2024 20:15;tj1lll0wutx94428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 20:14;241ll80wp2tr56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:14;mq1ll40wq0qs1472;dana60;DANA 60.000;60035;60171;136;TransaksiSukses;Sukses
30/09/2024 20:13;lu4e6x09tj3586304;av-ksmp-tri3-3;Aktivasi Voucher Tri Happy 3 GB 3 Hari (Kalisumapa);10525;10646;121;TransaksiSukses;Sukses
30/09/2024 20:12;2v7td709ynsh878;axis10;Axis 10.000;10810;10875;65;TransaksiSukses;Sukses
30/09/2024 20:12;1z7tcz09hulq185;500dana170;DANA 170.000 Admin 500;169590;170237;647;TransaksiSukses;Sukses
30/09/2024 20:11;9w1lkd0wrbuw5850;tsel28;Telkomsel 28.000;27862;27958;96;TransaksiSukses;Sukses
30/09/2024 20:11;oc7tcn09a1lq5899;tsel65;Telkomsel 65.000;64425;64537;112;TransaksiSukses;Sukses
30/09/2024 20:10;ee7tce09lwwp1476;dana70;DANA 70.000;70090;70161;71;TransaksiSukses;Sukses
30/09/2024 20:09;yi7tc509mbzf56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 20:08;7a4e5a09mwy066839;tsel6;Telkomsel 6.000;6430;6836;0;TransaksiRefund;Gagal
